User;ELN ID;IPC no.;Duration (h);LC-MS method (min);LC-MS instrument;LC-MS file name;IPC result
;ELN040616-014;1;16;2;MSA_92_542;MSA-22-00466;no reaction
;ELN040616-015;1;16;2;MSA_92_542;MSA-22-00466;didn't look like screening. 90% SM
;ELN040616-012;1;2;2;MSA_92_542;MSA-22-00467;mostly SM
;ELN040616-013;1;2;2;MSA_92_542;MSA-22-00467;mostly SM
;ELN040616-015;2;19;2;MS3_92_523;MS3-22-65854;didn't look like screening. 90% SM
;ELN040616-020;1;2;2;MSA_92_542;MSA-22-00481;minimal conversion
;ELN040616-021;1;2;2;MSA_92_542;MSA-22-00481;minimal conversion
;ELN040616-016;1;16;2;MSA_92_542;MSA-22-00485;conversion 1:1
;ELN040616-018;1;16;2;MSA_92_542;MSA-22-00485;like screening
;ELN040616-019;1;16;2;MSA_92_542;MSA-22-00485;like screening
;ELN040616-020;2;21;2;MSA_92_542;MSA-22-00485;minimal conversion
;ELN040616-021;2;21;2;MSA_92_542;MSA-22-00485;minimal conversion
;ELN040616-022;1;15;2;MSA_92_542;MSA-22-00494;minimal conversion
;ELN040616-017;1;2;2;MSA_92_542;MSA-22-00497;looks good
;ELN040616-023;1;2;2;MSA_92_542;MSA-22-00501;not a lot conversion --> at least a bit product
;ELN040616-024;1;2;2;MSA_92_542;MSA-22-00501;not a lot conversion --> no product seen
;ELN040616-025;1;2;2;MSA_92_542;MSA-22-00501;not a lot conversion --> at least a bit product
;ELN040616-023;2;18;2;MSA_92_542;MSA-22-00506;not a lot conversion --> at least a bit product
;ELN040616-024;2;18;2;MSA_92_542;MSA-22-00506;not a lot conversion --> no product seen
;ELN040616-025;2;18;2;MSA_92_542;MSA-22-00506;not a lot conversion --> at least a bit product
;ELN040616-026;1;2;2;MSA_92_542;MSA-22-00521;looks good
;ELN040616-027;1;2;2;MSA_92_542;MSA-22-00521;looks good
;ELN040616-027;2;20;2;MSA_92_542;MSA-22-00523;2 new peaks formed with target mass
