ID;eln_id;chemist;stmat_1_chemform;stmat_2_chemform;product_1_chemform;product_2_chemform;product_3_chemform;product_4_chemform
1;ELN045640-001;fluckign;C16H21BN2O2;;C8H7F3O;;;
2;ELN045640-021;fluckign;C16H21BN2O2;;C11H9N3;;;
3;ELN045640-019;fluckign;C16H21BN2O2;;C11H9F3N2;;;
4;ELN045640-020;fluckign;C16H21BN2O2;;C11H9F3N2;;;
5;ELN045640-022;fluckign;C16H21BN2O2;;C11H9F3N2;;;
6;ELN045640-023;fluckign;C16H21BN2O2;;C11H12N2;;;
7;ELN045640-024;fluckign;C16H21BN2O2;;C11H12N2;;;
8;ELN045640-027;fluckign;C10H14BNO3;;C11H12N2O;;;
9;ELN045640-028;fluckign;C10H14BNO3;;C11H12N2O;;;
10;ELN045640-031;fluckign;C16H21BN2O2;;C11H9F3N2;;;
11;ELN045640-032;fluckign;C28H35ClBN2O4;;C22H22BrClN2O2;;;
12;ELN045640-026;fluckign;C10H14BNO3;;C11H12N2O;;;
13;ELN045640-029;fluckign;C10H14BNO3;;C11H12N2O;;;
14;ELN045640-033;fluckign;C10H14BNO3;;C10H12ClNO;;;
15;ELN045640-034;fluckign;C10H14BNO3;;C10H12ClNO;;;
16;ELN045640-035;fluckign;C10H14BNO3;;C10H12ClNO;;;
17;ELN045640-036;fluckign;C20H24BNO2;;C14H12ClN;;;
18;ELN045640-037;fluckign;C20H24BNO2;;C14H12ClN;;;
19;ELN045640-038;fluckign;C28H35ClBN2O4;;C23H22ClN3O2;;;
20;ELN045640-039;fluckign;C22H23ClN2O2;;C28H35ClBN2O4;;;
21;ELN045640-040;fluckign;C5H5BBrNO2;;C5H5BrN2;;;
22;ELN045640-041;fluckign;C10H14BNO3;;C10H14N2O;;;
23;ELN045640-042;fluckign;C5H5BBrNO2;;C5H5BrN2;;;
24;ELN045640-043;fluckign;C10H14BNO3;;C10H14N2O;;;
25;ELN045640-044;fluckign;C5H5BBrNO2;;C5H5BrN2;;;
26;ELN045640-045;fluckign;C10H14BNO3;;C10H14N2O;;;
27;ELN045640-046;fluckign;C20H24BNO2;;C14H12FN;;;
28;ELN045640-047;fluckign;C10H14BNO3;;C11H15NO;;;
29;ELN045640-048;fluckign;C16H21BN2O2;;C10H9FN2;;;
30;ELN045640-049;fluckign;C10H14BNO3;;C10H12FNO;;;
31;ELN045640-050;fluckign;C10H14BNO3;;C11H12F3NO;;;
32;ELN045640-051;fluckign;C10H14BNO3;;C11H12F3NO;;;
33;ELN045640-052;fluckign;C10H14BNO3;;C10H12FNO;;;
34;ELN045640-053;fluckign;C10H14BNO3;;C10H12FNO;;;
35;ELN045640-054;fluckign;C20H24BNO2;;C14H14N2;;;
36;ELN045640-055;fluckign;C20H24BNO2;;C14H14N2;;;
37;ELN045640-056;fluckign;C28H35ClBN2O4;;C22H22Cl2N2O2;;;
38;ELN045640-057;fluckign;C10H14BNO3;;C11H15NO;;;
39;ELN045640-058;fluckign;C10H14BNO3;;C10H12ClNO;;;
40;ELN045640-059;fluckign;C10H14BNO3;;C10H12ClNO;;;
41;ELN045640-060;fluckign;C22H23ClN2O2;;C28H35ClBN2O4;;;
42;ELN045640-061;fluckign;C22H23ClN2O2;;C28H35ClBN2O4;;;
43;ELN045640-062;fluckign;C17H19NO4;;C23H30BNO6;;;
44;ELN045640-063;fluckign;C20H19NO3;;C26H30BNO5;;;
45;ELN045640-064;fluckign;C14H17Cl2N3O;;C20H28BCl2N3O3;;;
46;ELN045640-065;fluckign;C10H14BNO3;;C11H15NO;;;
47;ELN045640-066;fluckign;C22H23ClN2O2;;C28H35ClBN2O4;;;
48;ELN045640-067;fluckign;C16H21BN2O2;;C10H9FN2;;;
49;ELN045640-068;fluckign;C10H14BNO3;;C10H12FNO;;;
50;ELN045640-069;fluckign;C20H24BNO2;;C14H12FN;;;
51;ELN045640-070;fluckign;C5H5BBrNO2;;C5H3BrFN;;;
52;ELN045640-071;fluckign;C28H35ClBN2O4;;C22H22Cl2N2O2;;;
53;ELN045640-072;fluckign;C28H35ClBN2O4;;C23H22ClF3N2O2;;;
54;ELN045640-073;fluckign;C10H14BNO3;;C10H12FNO;;;
55;ELN045640-074;fluckign;C16H24BNO3;;C11H12N2O;;;
56;ELN045640-075;fluckign;C16H24BNO3;;C11H12N2O;;;
57;ELN045640-076;fluckign;C16H24BNO3;;C11H12N2O;;;
58;ELN045640-077;fluckign;C16H24BNO3;;C10H12ClNO;;;
59;ELN045640-078;fluckign;C16H24BNO3;;C10H12ClNO;;;
60;ELN045640-079;fluckign;C16H24BNO3;;C10H12ClNO;;;
61;ELN045640-080;fluckign;C16H24BNO3;;C10H12FNO;;;
62;ELN046464-001;strobes3;C12H11N;;C12H10FN;;;
63;ELN046464-002;strobes3;C12H11N;;C12H10FN;;;
64;ELN046464-003;strobes3;C12H11N;;C12H10FN;;;
65;ELN046464-004;strobes3;C12H11N;;C12H10FN;;;
66;ELN045640-081;fluckign;C16H24BNO3;;C10H12FNO;;;
67;ELN045640-082;fluckign;C16H24BNO3;;C11H15NO;;;
68;ELN045640-083;fluckign;C16H24BNO3;;C11H15NO;;;
69;ELN046464-005;strobes3;C12H11N;;C12H10FN;;;
70;ELN046464-006;strobes3;C12H11N;;C12H10FN;;;
71;ELN046464-007;strobes3;C12H11N;;C12H10FN;;;
72;ELN046464-008;strobes3;C12H11N;;C12H10FN;;;
73;ELN046464-009;strobes3;C12H11N;;C12H10FN;;;
74;ELN045640-084;fluckign;C16H24BNO3;;C11H12N2O;C10H14BNO3;;
75;ELN045640-085;fluckign;C16H24BNO3;;C10H12ClNO;C10H14BNO3;;
76;ELN046464-010;strobes3;C12H11N;;C12H10FN;;;
77;ELN046464-011;strobes3;C12H11N;;C12H10FN;;;
78;ELN046464-012;strobes3;C12H11N;;C12H10FN;;;
79;ELN045640-086;fluckign;C20H19NO3;;C26H30BNO5;;;
