User;ELN ID;Purif no.;Fraction;Purification Method;Analysis Instrument;Analysis file name;Purification result
;ELN041816-003;1;F8-11;ISCO;oanmr2;T313649_1;product confirmed, Bpin visible & 1 proton missing in aromatic part (compared to StMat)
;ELN040616-014;1;F1;Extraction;MS3_92_523;MS3-22-65854;good
;ELN040616-014;1;F2;Extraction;MS3_92_523;MS3-22-65854;no Prod in AL
;ELN040616-012;1;F1;Extraction;MSA_92_542;MSA-22-00472;good
;ELN040616-013;1;F1;Extraction;MSA_92_542;MSA-22-00472;good
;ELN040616-015;1;F1;Extraction;MSA_92_542;MSA-22-00472;no product in OL
;ELN040616-014;2;F14-17;ISCO;MSA_92_542;MSA-22-00475;product peak in all fractions
;ELN040616-014;2;F20-22;ISCO;MSA_92_542;MSA-22-00475;product peak in all fractions
;ELN040616-014;3;F3;ISCO;MSA_92_542;MSA-22-00476;collected material is chlorobenzoic acid
;ELN040616-013;2;F8;ISCO;MSA_92_542;MSA-22-00476;no product collected
;ELN040616-013;2;F9;ISCO;MSA_92_542;MSA-22-00476;no product collected
;ELN040616-020;1;F1;Extraction;MSA_92_542;MSA-22-00486;some product in OL
;ELN040616-020;1;F2;Extraction;MSA_92_542;MSA-22-00486;most product in AL
;ELN040616-021;1;F1;Extraction;MSA_92_542;MSA-22-00486;no product in OL
;ELN040616-021;1;F2;Extraction;MSA_92_542;MSA-22-00486;all product in AL
;ELN040616-016;1;F1;Extraction;MSA_92_542;MSA-22-00491;traces of product in OL
;ELN040616-016;1;F2;Extraction;MSA_92_542;MSA-22-00491;Product in AL
;ELN040616-018;1;F1;Extraction;MSA_92_542;MSA-22-00491;traces of product in OL
;ELN040616-018;1;F2;Extraction;MSA_92_542;MSA-22-00491;Product in AL
;ELN040616-019;1;F1;Extraction;MSA_92_542;MSA-22-00491;Product in OL
;ELN040616-019;1;F2;Extraction;MSA_92_542;MSA-22-00491;traces in AL
;ELN040616-020;1;F3;Extraction;MSA_92_542;MSA-22-00487;no product in AL
;ELN040616-021;1;F3;Extraction;MSA_92_542;MSA-22-00487;no product in AL
;ELN040616-016;1;F3;Extraction;MSA_92_542;MSA-22-00492;traces of product in AL
;ELN040616-018;1;F3;Extraction;MSA_92_542;MSA-22-00492;traces of product in AL
;ELN040616-016;1;F4;Extraction;MSA_92_542;MSA-22-00494;Product in OL
;ELN040616-018;1;F4;Extraction;MSA_92_542;MSA-22-00494;Product in OL
;ELN040616-019;1;F4;Extraction;MSA_92_542;MSA-22-00494;Product in OL
;ELN040616-020;1;F4;Extraction;MSA_92_542;MSA-22-00494;Product in OL
;ELN040616-021;1;F4;Extraction;MSA_92_542;MSA-22-00494;nothing in OL
;ELN040616-022;1;F1;Extraction;MSA_92_542;MSA-22-00496;Product in OL
;ELN040616-022;1;F2;Extraction;MSA_92_542;MSA-22-00496;Chlorobenzoic acid in AL and traces of product
;ELN040616-020;2;F10-12;ISCO;MSA_92_542;MSA-22-00498;Prod fraction P+16
;ELN040616-020;2;F14-18;ISCO;MSA_92_542;MSA-22-00498;Prod fraction P+50
